carId,make,model,seriesYear,price,engineSize,tankCapacity,bodyType,seatingCapacity,transmission
14996,ALFA ROMEO,33,1987,22504,1.5L,50L,5D HATCHBACK,5,5M
14900,MAZDA,121,1987,12250,1.3L,38L,3D HATCHBACK,5,5M
15255,MAZDA,323,1987,15150,1.6L,45L,5D HATCHBACK,5,5M
15368,MAZDA,929,1987,23010,2.0L,60L,4D SEDAN,5,5M
17374,NISSAN,NAVARA,1987,25835,2.5L,60L,DUAL CAB P/UP,5,5M4x4
17498,NISSAN,PINTARA,1987,16470,2.0L,65L,4D SEDAN,5,4A
17553,NISSAN,PULSAR,1987,15565,1.6L,50L,5D HATCHBACK,5,3A
17635,MAZDA,RX7,1987,54200,1.3L,76L,2D COUPE,4,5M
17568,NISSAN,PULSAR,1987,15470,1.8L,50L,4D SEDAN,5,5M
16420,TOYOTA,COROLLA,1987,12490,1.3L,50L,5D HATCHBACK,5,4M
16398,TOYOTA,COROLLA,1987,14485,1.6L,50L,4D SEDAN,5,5M
16454,TOYOTA,COROLLA,1987,16430,1.6L,50L,5D LIFTBACK,5,3A
16448,TOYOTA,COROLLA,1987,18175,1.6L,50L,5D HATCHBACK,5,5M
16470,TOYOTA,COROLLA,1987,19210,1.6L,50L,5D LIFTBACK,5,5M
17737,FORD,TELSTAR,1987,22304,2.2L,60L,5D HATCHBACK,5,5M
17735,FORD,TELSTAR,1987,26733,2.2L,60L,5D HATCHBACK,5,5M
16011,HOLDEN,CAMIRA,1987,18994,1.8L,60L,4D WAGON,5,3A
16010,HOLDEN,CAMIRA,1987,17263,2.0L,50L,4D SEDAN,5,5M
17102,FORD,LASER,1987,14967,1.6L,45L,5D HATCHBACK,5,3A
15601,HOLDEN,ASTRA,1987,14942,1.8L,50L,4D SEDAN,5,5M
15760,HOLDEN,BARINA,1987,12053,1.3L,33L,5D HATCHBACK,5,5M
17705,MITSUBISHI,STARWAGON,1987,21539,2.0L,55L,2D WAGON,8,5M
17232,MITSUBISHI,MAGNA,1987,18227,2.6L,64L,4D SEDAN,5,4A
17211,MITSUBISHI,MAGNA,1987,20597,2.6L,74L,4D WAGON,5,4A
17161,MITSUBISHI,MAGNA,1987,21157,2.6L,64L,4D SEDAN,5,4A
15817,HOLDEN,BERLINA,1987,21564,3.0L,63L,4D SEDAN,5,4A
15975,HOLDEN,CALAIS,1987,29512,3.0L,63L,4D SEDAN,5,4A
16361,HOLDEN,COMMODORE,1987,20811,3.0L,68L,4D WAGON,5,4A
16320,HOLDEN,COMMODORE,1987,17626,3.0L,63L,4D SEDAN,5,4A
16745,FORD,FALCON,1987,21171,4.1L,72L,4D WAGON,5,3A
16880,TOYOTA,HIACE,1987,24770,2.2L,60L,VAN WAGON,5,5M
16900,TOYOTA,HILUX,1987,20565,2.2L,73L,P/UP,3,5M4x4
16645,FORD,FAIRLANE,1987,31996,4.1L,80L,4D SEDAN,5,3A
14856,BMW,3,1988,74500,2.5L,55L,4D SEDAN,5,4A
14885,BMW,7,1988,145900,3.4L,95L,4D SEDAN,5,4A
15093,VOLVO,7,1988,43750,2.3L,82L,4D SEDAN,5,5M
17015,TOYOTA,LANDCRUISER,1988,32599,4.0L,90L,4D WAGON,6,5M4x4
15556,DAIHATSU,CHARADE,1988,14590,1.3L,40L,5D HATCHBACK,5,3A
17718,TOYOTA,TARAGO,1988,22826,2.0L,60L,2D WAGON,8,4A
17467,NISSAN,PATROL,1988,33174,4.2L,95L,2D HARDTOP,5,5M4x4
17535,NISSAN,PULSAR,1988,13810,1.6L,50L,5D HATCHBACK,5,5M
16924,HOLDEN,JACKAROO,1988,32095,2.6L,83L,4D WAGON,5,5M4x4
17523,NISSAN,PULSAR,1988,17465,1.8L,50L,5D HATCHBACK,5,3A
15238,MAZDA,323,1988,17425,1.6L,48L,4D SEDAN,5,5M
16185,TOYOTA,CELICA,1988,27420,2.0L,60L,2D LIFTBACK,4,5M
15248,MAZDA,323,1988,19390,1.6L,48L,5D HATCHBACK,5,3A
17665,NISSAN,SKYLINE,1988,29450,3.0L,50L,4D SEDAN,5,4A
17359,MAZDA,MX6,1988,35360,2.2L,58L,2D COUPE,4,4A
17570,NISSAN,PULSAR,1988,16795,1.8L,50L,4D SEDAN,5,5M
16422,TOYOTA,COROLLA,1988,15820,1.6L,50L,4D SEDAN,5,5M
16452,TOYOTA,COROLLA,1988,18235,1.6L,50L,5D LIFTBACK,5,5M
16443,TOYOTA,COROLLA,1988,15075,1.6L,50L,5D HATCHBACK,5,5M
17742,FORD,TELSTAR,1988,24899,2.2L,60L,5D HATCHBACK,5,4A
16759,FORD,FALCON,1988,22207,3.9L,68L,4D SEDAN,5,5M
17486,NISSAN,PATROL,1988,39330,4.2L,95L,4D WAGON,7,5M4x4
17150,FORD,LASER,1988,19866,1.6L,45L,4D SEDAN,5,4A
17112,FORD,LASER,1988,16697,1.6L,45L,4D WAGON,5,5M
15623,HOLDEN,ASTRA,1988,16664,1.8L,50L,5D HATCHBACK,5,3A
16099,TOYOTA,CAMRY,1988,17885,1.8L,60L,4D SEDAN,5,4A
16092,TOYOTA,CAMRY,1988,20529,2.0L,60L,4D WAGON,5,4A
16074,TOYOTA,CAMRY,1988,22219,2.0L,60L,4D SEDAN,5,4A
16019,TOYOTA,CAMRY,1988,20706,2.0L,60L,4D WAGON,5,4A
17189,MITSUBISHI,MAGNA,1988,21786,2.6L,74L,4D WAGON,5,4A
17218,MITSUBISHI,MAGNA,1988,19681,2.6L,64L,4D SEDAN,5,4A
15981,HOLDEN,CALAIS,1988,31265,3.0L,63L,4D SEDAN,5,4A
16304,HOLDEN,COMMODORE,1988,20080,3.0L,63L,4D SEDAN,5,4A
16309,HOLDEN,COMMODORE,1988,25200,3.0L,63L,4D SEDAN,5,4A
16282,HOLDEN,COMMODORE,1988,20014,3.0L,63L,4D SEDAN,5,5M
16030,TOYOTA,CAMRY,1988,30237,2.5L,60L,4D SEDAN,5,4A
15040,MERCEDES-BENZ,230,1988,87100,2.3L,70L,4D SEDAN,5,4A
16763,FORD,FALCON,1988,18513,3.3L,66L,4D SEDAN,5,3A
16719,FORD,FALCON,1988,18721,4.1L,66L,4D SEDAN,5,4M
14875,BMW,3,1989,36950,1.8L,55L,2D SEDAN,5,5M
14854,BMW,3,1989,54700,2.0L,65L,4D SEDAN,5,5M
15085,VOLVO,7,1989,65900,2.3L,82L,4D SEDAN,5,4A
16879,TOYOTA,HIACE,1989,29665,2.4L,60L,BUS,15,5M
15282,TOYOTA,4 RUNNER,1989,28200,2.4L,65L,4D WAGON,5,5M4x4
15522,DAIHATSU,FEROZA,1989,18853,1.6L,60L,RESIN TOP,4,5M4x4
17477,NISSAN,PATROL,1989,32345,4.2L,95L,4D WAGON,5,5M4x4
17453,NISSAN,PATHFINDER,1989,26509,2.4L,80L,2D WAGON,5,5M4x4
15548,DAIHATSU,FEROZA,1989,20759,1.6L,60L,RESIN TOP,4,5M4x4
17501,NISSAN,PINTARA,1989,20890,2.0L,65L,4D WAGON,5,4A
17676,NISSAN,SKYLINE,1989,21750,3.0L,50L,4D SEDAN,5,4A
17520,NISSAN,PULSAR,1989,14730,1.6L,50L,5D HATCHBACK,5,3A
15466,HONDA,CIVIC,1989,19400,1.5L,45L,3D HATCHBACK,5,5M
17502,NISSAN,PINTARA,1989,18899,2.0L,65L,4D WAGON,5,5M
17494,NISSAN,PATROL,1989,33602,4.2L,95L,4D WAGON,6,5M4x4
16497,TOYOTA,CRESSIDA,1989,37500,3.0L,70L,4D SEDAN,5,4A
15878,SUBARU,LIBERTY,1989,26440,2.2L,60L,4D SEDAN,5,4A
17677,NISSAN,SKYLINE,1989,25999,3.0L,50L,4D SEDAN,5,4A
15705,SUZUKI,VITARA,1989,20990,1.6L,42L,2D SOFTTOP,4,5M4x4
15426,HONDA,INTEGRA,1989,31450,1.8L,50L,2D COUPE,4,5M
15180,PEUGEOT,405,1989,42900,1.9L,70L,4D SEDAN,5,5M
15331,AUDI,90,1989,79500,2.3L,70L,4D SEDAN,5,5M
16162,TOYOTA,CELICA,1989,26360,2.0L,60L,2D COUPE,4,5M
17369,NISSAN,NAVARA,1989,22099,2.4L,60L,DUAL CAB P/UP,5,4A
15245,MAZDA,323,1989,20210,1.6L,48L,5D HATCHBACK,5,4A
16173,TOYOTA,CELICA,1989,34675,2.0L,60L,2D LIFTBACK,4,4A
15861,SUBARU,GL,1989,22395,1.8L,60L,4D WAGON,5,5M
15513,DAIHATSU,CHARADE,1989,11290,1.0L,37L,3D HATCHBACK,5,5M
17356,MAZDA,MX6,1989,34505,2.2L,58L,2D COUPE,4,5M
16467,TOYOTA,COROLLA,1989,16340,1.6L,50L,5D HATCHBACK,5,3A
16469,TOYOTA,COROLLA,1989,19986,1.6L,50L,5D LIFTBACK,5,4A
16425,TOYOTA,COROLLA,1989,19676,1.6L,50L,5D HATCHBACK,5,5M
16381,TOYOTA,COROLLA,1989,14805,1.4L,50L,4D SEDAN,5,5M
17738,FORD,TELSTAR,1989,19161,2.0L,60L,4D SEDAN,5,3A
17736,FORD,TELSTAR,1989,25743,2.2L,60L,5D HATCHBACK,5,4A
16980,MITSUBISHI,LANCER,1989,18950,1.5L,50L,4D SEDAN,5,4A
16965,MITSUBISHI,LANCER,1989,20258,1.5L,50L,4D SEDAN,5,4A
15134,PEUGEOT,405,1989,36300,1.9L,70L,4D SEDAN,5,4A
16675,FORD,FAIRMONT,1989,26036,3.9L,68L,4D SEDAN,5,3A
16736,FORD,FALCON,1989,22379,3.9L,68L,4D SEDAN,5,3A
16723,FORD,FALCON,1989,23260,3.9L,68L,4D SEDAN,5,3A
17475,NISSAN,PATROL,1989,39330,4.2L,95L,4D WAGON,7,5M4x4
16839,MITSUBISHI,GALANT,1989,26251,2.0L,60L,5D HATCHBACK,5,5M
17076,TOYOTA,LANDCRUISER,1989,48196,4.0L,90L,4D WAGON,5,5M4x4
17020,TOYOTA,LANDCRUISER,1989,31150,4.0L,90L,C/CHAS,3,5M4x4
16014,HOLDEN,CAMIRA,1989,20475,2.0L,50L,4D WAGON,5,3A
17114,FORD,LASER,1989,20280,1.6L,45L,5D HATCHBACK,5,4A
17100,FORD,LASER,1989,17372,1.6L,45L,4D WAGON,5,5M
17105,FORD,LASER,1989,15752,1.6L,45L,4D WAGON,5,4M
17128,FORD,LASER,1989,15872,1.6L,45L,5D HATCHBACK,5,5M
17113,FORD,LASER,1989,19497,1.6L,45L,3D HATCHBACK,5,5M
15615,HOLDEN,ASTRA,1989,16414,1.8L,50L,4D SEDAN,5,5M
17385,HOLDEN,NOVA,1989,19035,1.6L,50L,4D SEDAN,5,5M
15785,HOLDEN,BARINA,1989,13194,1.3L,40L,5D HATCHBACK,5,5M
17816,MITSUBISHI,TRITON,1989,25911,2.5L,75L,DOUBLE CAB UTILITY,5,5M4x4
16637,FORD,FAIRLANE,1989,36554,3.9L,68L,4D SEDAN,5,3A
16258,MITSUBISHI,COLT,1989,15611,1.6L,40L,5D HATCHBACK,5,3A
16110,FORD,CAPRI,1989,27407,1.6L,42L,2D CONVERTIBLE,4,5M
17704,MITSUBISHI,STARWAGON,1989,30035,2.4L,55L,2D WAGON,8,4A
16104,TOYOTA,CAMRY,1989,17977,1.8L,60L,4D SEDAN,5,5M
16050,TOYOTA,CAMRY,1989,20210,2.0L,60L,4D SEDAN,5,4A
16017,TOYOTA,CAMRY,1989,20595,2.0L,60L,4D SEDAN,5,4A
17605,HOLDEN,RODEO,1989,14798,2.6L,75L,C/CHAS,3,5M
17228,MITSUBISHI,MAGNA,1989,20733,2.6L,64L,4D SEDAN,5,4A
17188,MITSUBISHI,MAGNA,1989,32462,2.6L,74L,4D WAGON,5,4A
17227,MITSUBISHI,MAGNA,1989,25338,2.6L,71L,4D WAGON,5,4A
16472,FORD,CORSAIR,1989,23634,2.4L,60L,4D SEDAN,5,4A
16473,FORD,CORSAIR,1989,17703,2.0L,60L,4D SEDAN,5,5M
15992,HOLDEN,CALAIS,1989,33263,3.8L,63L,4D SEDAN,5,4A
15811,HOLDEN,BERLINA,1989,26369,3.8L,63L,4D SEDAN,5,4A
16286,HOLDEN,COMMODORE,1989,23559,3.8L,68L,4D WAGON,5,4A
16329,HOLDEN,COMMODORE,1989,23554,3.8L,63L,4D SEDAN,5,4A
16873,TOYOTA,HIACE,1989,18992,2.2L,60L,VAN,3,4M
